'id_car_make','name','date_create','date_update','id_car_type'
'1','AC','1398977406','1568063003','1'
'2','Acura','1398977406','1568063004','1'
'3','Alfa Romeo','1398977406','1568063006','1'
'4','Alpine','1398977406','1568063007','1'
'5','AM General','1398977406','1461509644','1'
'6','Ariel','1398977406','1568063008','1'
'7','Aro','1398977406','1568063009','1'
'8','Asia','1398977406','1568063010','1'
'9','Aston Martin','1398977406','1568063011','1'
'10','Audi','1398977406','1568063012','1'
'11','Austin','1398977406','1568063013','1'
'12','Autobianchi','1398977406','1443121391','1'
'13','Baltijas Dzips','1398977406','1461509644','1'
'14','Beijing','1398977406','1568063015','1'
'15','Bentley','1398977406','1568063015','1'
'16','Bertone','1398977406','1443121391','1'
'17','Bitter','1398977406','1443121391','1'
'18','BMW','1398977406','1568063017','1'
'20','Brabus','1398977406','1443121391','1'
'21','Brilliance','1398977406','1568063018','1'
'22','Bristol','1398977406','1568063019','1'
'23','Bufori','1398977406','1443121391','1'
'24','Bugatti','1398977406','1568063019','1'
'25','Buick','1398977406','1568063020','1'
'26','BYD','1398977406','1568063021','1'
'27','Byvin','1398977406','1443121391','1'
'28','Cadillac','1398977406','1568063022','1'
'29','Callaway','1398977406','1568063022','1'
'30','Carbodies','1398977406','1568063023','1'
'31','Caterham','1398977406','1568063024','1'
'32','Changan','1398977406','1568063025','1'
'33','ChangFeng','1398977406','1568063025','1'
'34','Chery','1398977406','1568063027','1'
'35','Chevrolet','1398977406','1568063028','1'
'36','Chrysler','1398977406','1568063029','1'
'37','Citroen','1398977406','1568063030','1'
'38','Cizeta','1398977406','1568063030','1'
'39','Coggiola','1398977406','1568063031','1'
'40','Dacia','1398977406','1568063031','1'
'41','Dadi','1398977406','1568063032','1'
'42','Daewoo','1398977406','1568063033','1'
'44','Daihatsu','1398977406','1568063034','1'
'45','Daimler','1398977406','1568063035','1'
'46','Dallas','1398977406','1568063036','1'
'47','Datsun','1398977406','1568063037','1'
'48','De Tomaso','1398977406','1568063038','1'
'49','DeLorean','1398977406','1568063037','1'
'50','Derways','1398977406','1568063042','1'
'51','Dodge','1398977406','1568063039','1'
'52','DongFeng','1398977406','1568063040','1'
'53','Doninvest','1398977406','1568063062','1'
'54','Donkervoort','1398977406','1443121392','1'
'55','E-Car','1398977406','1461509644','1'
'56','Eagle','1398977406','1568063042','1'
'57','Eagle Cars','1398977406','1461509644','1'
'59','FAW','1398977406','1568063044','1'
'60','Ferrari','1398977406','1568063045','1'
'61','Fiat','1398977406','1568063046','1'
'62','Fisker','1398977406','1568063046','1'
'63','Ford','1398977406','1568063047','1'
'64','Foton','1398977406','1568063048','1'
'65','FSO','1398977406','1568063049','1'
'66','Fuqi','1398977406','1568063049','1'
'67','Geely','1398977406','1568063050','1'
'68','Geo','1398977406','1568063051','1'
'69','GMC','1398977406','1568063052','1'
'70','Gonow','1398977406','1443121392','1'
'71','Great Wall','1398977406','1568063053','1'
'72','Hafei','1398977406','1568063055','1'
'73','Haima','1398977406','1568063056','1'
'74','Hindustan','1398977406','1568063058','1'
'75','Holden','1398977406','1568063058','1'
'76','Honda','1398977406','1568063060','1'
'77','HuangHai','1398977406','1568063060','1'
'78','Hummer','1398977406','1568063061','1'
'79','Hyundai','1398977406','1568063063','1'
'80','Infiniti','1398977406','1568063064','1'
'81','Innocenti','1398977406','1568063065','1'
'82','Invicta','1398977406','1568063065','1'
'83','Iran Khodro','1398977406','1568063066','1'
'84','Isdera','1398977406','1568063067','1'
'85','Isuzu','1398977406','1568063067','1'
'86','IVECO','1398977406','1484952836','1'
'87','JAC','1398977406','1568063068','1'
'88','Jaguar','1398977406','1568063069','1'
'89','Jeep','1398977406','1568063070','1'
'90','Jensen','1398977406','1443121392','1'
'91','JMC','1398977406','1568063071','1'
'92','Kia','1398977406','1568063072','1'
'93','Koenigsegg','1398977406','1568063073','1'
'95','Lamborghini','1398977406','1568063074','1'
'96','Lancia','1398977406','1568063074','1'
'97','Land Rover','1398977406','1568063075','1'
'98','Landwind','1398977406','1568063076','1'
'99','Lexus','1398977406','1568063077','1'
'100','Liebao Motor','1398977406','1461509644','1'
'101','Lifan','1398977406','1568063078','1'
'102','Lincoln','1398977406','1568063079','1'
'103','Lotus','1398977406','1568063079','1'
'104','LTI','1398977406','1568063080','1'
'105','Luxgen','1398977406','1568063081','1'
'106','Mahindra','1398977406','1568063082','1'
'107','Marcos','1398977406','1568063082','1'
'108','Marlin','1398977406','1568063083','1'
