'id_car_model','id_car_make','name','date_create','date_update','id_car_type'
'1','1','378 GT Zagato','1398979509','1567847761','1'
'2','1','ACE','1398979509','1567847762','1'
'3','1','Aceca','1398979509','1567847762','1'
'4','1','Cobra','1398979509','1567847763','1'
'5','2','CL','1398979510','1567847763','1'
'6','2','CSX','1398979510','1567847764','1'
'7','2','EL','1398979510','1567847764','1'
'8','2','ILX','1398979510','1567847765','1'
'9','2','Integra','1398979510','1567847766','1'
'10','2','Legend','1398979510','1567847766','1'
'11','2','MDX','1398979510','1567847767','1'
'12','2','NSX','1398979510','1567847768','1'
'13','2','RDX','1398979510','1567847769','1'
'14','2','RL','1398979510','1567847769','1'
'15','2','RLX','1398979510','1434655546','1'
'16','2','RSX','1398979510','1567847770','1'
'17','2','SLX','1398979510','1567847770','1'
'18','2','TL','1398979510','1567847771','1'
'19','2','TSX','1398979510','1567847772','1'
'20','2','ZDX','1398979510','1567847773','1'
'21','3','145','1398979511','1567847774','1'
'22','3','146','1398979511','1567847774','1'
'23','3','147','1398979511','1567847775','1'
'24','3','155','1398979511','1567847776','1'
'25','3','156','1398979511','1567847776','1'
'26','3','159','1398979511','1567847777','1'
'27','3','164','1398979511','1567847777','1'
'28','3','166','1398979511','1567847778','1'
'29','3','33','1398979511','1567847782','1'
'30','3','4C','1398979511','1567847782','1'
'31','3','Alfa 6','1398979511','1567847784','1'
'32','3','75','1398979511','1567847783','1'
'33','3','8C Competizione','1398979511','1567847783','1'
'34','3','90','1398979511','1567847784','1'
'35','3','Alfasud','1398979511','1567847785','1'
'36','3','Alfetta','1398979511','1567847786','1'
'37','3','Arna','1398979511','1567847786','1'
'38','3','Brera','1398979511','1567847787','1'
'39','3','Giulia','1398979511','1567847788','1'
'40','3','Giulietta','1398979511','1567847789','1'
'41','3','GT','1398979511','1567847789','1'
'42','3','GTA Coupe','1398979511','1461509704','1'
'43','3','GTV','1398979511','1567847790','1'
'44','3','MiTo','1398979511','1567847791','1'
'45','3','Montreal','1398979511','1567847792','1'
'46','3','RZ','1398979511','1461509704','1'
'47','3','Spider','1398979511','1567847792','1'
'48','3','Sprint','1398979512','1461509704','1'
'49','3','SZ','1398979512','1461509704','1'
'50','4','A110','1398979512','1567847794','1'
'51','4','A310','1398979512','1434655622','1'
'52','4','A610','1398979512','1567847795','1'
'53','4','GTA','1398979512','1434655626','1'
'54','5','HMMWV (Humvee)','1398979513','1461509705','1'
'55','6','Atom','1398979514','1567847795','1'
'56','7','10','1398979514','1567847796','1'
'57','7','24','1398979514','1567847797','1'
'58','8','Retona','1398979515','1434655633','1'
'59','8','Rocsta','1398979515','1567847798','1'
'60','9','Bulldog','1398979516','1461509706','1'
'61','9','Cygnet','1398979516','1567847799','1'
'62','9','DB7','1398979516','1567847803','1'
'63','9','DB9','1398979516','1567847804','1'
'64','9','DBS','1398979516','1567847804','1'
'65','9','Lagonda','1398979516','1567847805','1'
'66','9','One-77','1398979516','1567847806','1'
'67','9','Rapide','1398979516','1567847808','1'
'68','9','Tickford Capri','1398979516','1461509706','1'
'69','9','Vanquish','1398979516','1567847809','1'
'70','9','V12 Vantage','1398979516','1474057785','1'
'71','9','V12 Zagato','1398979516','1567847808','1'
'72','9','V8 Vantage','1398979516','1493805608','1'
'73','9','V8 Zagato','1398979516','1461509706','1'
'74','9','Virage','1398979516','1567847810','1'
'75','10','100','1398979517','1567847811','1'
'76','10','200','1398979517','1567847811','1'
'77','10','50','1398979517','1567847812','1'
'78','10','80','1398979517','1567847814','1'
'79','10','90','1398979517','1567847814','1'
'80','10','A1','1398979517','1567847815','1'
'81','10','A2','1398979517','1567847816','1'
'82','10','A3','1398979517','1567847816','1'
'83','10','A4 allroad','1398979517','1540420352','1'
'84','10','A4','1398979517','1567847817','1'
'85','10','A5','1398979517','1567847818','1'
'86','10','Allroad','1398979517','1567847821','1'
'87','10','A6','1398979517','1567847819','1'
'88','10','A7','1398979517','1567847819','1'
'89','10','A8','1398979517','1567847820','1'
'90','10','Cabriolet','1398979517','1567847821','1'
'91','10','Coupe','1398979517','1567847822','1'
'92','10','NSU RO 80','1398979517','1540420352','1'
'93','10','Q3','1398979517','1567847827','1'
'94','10','Q5','1398979517','1567847827','1'
'95','10','Q7','1398979517','1568805056','1'
'96','10','Quattro','1398979517','1567847830','1'
'97','10','R8','1398979517','1567847831','1'
'98','10','RS Q3','1398979517','1567847835','1'
'100','10','RS 3','1398979517','1567847832','1'
'101','10','RS 4','1398979517','1567847833','1'
'102','10','RS 5','1398979517','1567847833','1'
'103','10','RS 6','1398979517','1567847834','1'
'104','10','RS 7','1398979517','1567847834','1'
'105','10','S1','1398979517','1567847836','1'
'106','10','S2','1398979517','1567847836','1'
'107','10','S3','1398979517','1567847837','1'
'108','10','S4','1398979517','1567847838','1'
'109','10','S5','1398979517','1567847838','1'
'110','10','S6','1398979517','1567847839','1'
'111','10','S7','1398979517','1567847840','1'
'112','10','S8','1398979517','1567847840','1'
'113','10','SQ5','1398979517','1567847841','1'
'114','10','TT','1398979517','1567847842','1'
'115','10','V8','1398979517','1567847843','1'
'116','11','Allegro','1398983404','1567847844','1'
'117','11','Ambassador','1398983404','1434655769','1'
'118','11','Maestro','1398983404','1434655771','1'
'119','11','Maxi','1398983404','1434655772','1'
'120','11','Mini Metro','1398983404','1567847844','1'
'121','11','Mini','1398983404','1434655775','1'
'122','11','Montego','1398983404','1567847845','1'
'123','11','Princess','1398983404','1434655777','1'
'124','12','A 112','1398983405','1461509708','1'
'125','13','BD-1322','1398983405','1461509708','1'
'126','14','BJ 2020','1398983406','1567847846','1'
'128','15','Arnage','1398983407','1567847847','1'
'129','15','Azure','1398983407','1567847847','1'
'130','15','Brooklands','1398983407','1567847848','1'
'131','15','Continental','1398983407','1567847849','1'
'132','15','Continental Flying Spur','1398983407','1534966337','1'
'133','15','Continental GT','1398983407','1567847850','1'
'134','15','Eight','1398983407','1567847850','1'
'135','15','Flying Spur','1398983407','1567847851','1'
'136','15','Mulsanne','1398983407','1567847852','1'
'137','15','Turbo R','1398983407','1567847854','1'
'138','16','Freeclimber','1398983408','1434655800','1'
'139','17','Type 3','1398983409','1461509710','1'
'140','18','02 (E10)','1398983410','1461509710','1'
'150','18','i3','1398983410','1567847863','1'
'151','18','i8','1398983410','1567847863','1'
'152','18','X1','1398983410','1567847868','1'
'153','18','X3','1398983410','1567847869','1'
'154','18','X4','1398983410','1567847871','1'
'155','18','X5','1398983410','1567847873','1'
'156','18','X6','1398983410','1567847874','1'
'157','18','Z1','1398983410','1567847876','1'
'158','18','Z3','1398983410','1567847877','1'
'159','18','Z4','1398983410','1567847878','1'
'160','18','Z8','1398983410','1571397767','1'
'169','20','7.3S','1398983411','1461509711','1'
'170','20','M V12','1398983411','1461509711','1'
'171','20','SV12','1398983411','1434655881','1'
'172','21','BS2','1398986708','1567847880','1'
'173','21','M1','1398986708','1567847883','1'
'174','21','BS4','1398986708','1567847880','1'
'175','21','M3','1398986708','1567847884','1'
'176','21','V5','1398986708','1567847886','1'
'177','22','Blenheim','1398986709','1567847886','1'
'178','22','Speedster','1398986709','1567847887','1'
'179','22','Fighter','1398986709','1567847887','1'
'180','23','Geneva','1398986710','1434655894','1'
'181','23','La Joya','1398986710','1461509763','1'
'182','24','EB 110','1398986711','1567847888','1'
'183','24','EB 112','1398986711','1567847889','1'
'185','25','Century','1398986712','1567847890','1'
'186','25','Electra','1398986712','1434655901','1'
'187','25','Enclave','1398986712','1567847891','1'
'188','25','Excelle','1398986712','1567847892','1'
'189','25','GL8','1398986712','1567847892','1'
'190','25','LaCrosse','1398986712','1567847893','1'
'191','25','LE Sabre','1398986712','1567847894','1'
'192','25','Lucerne','1398986712','1567847895','1'
'193','25','Park Avenue','1398986712','1567847895','1'
'194','25','Rainer','1398986712','1434655913','1'
'195','25','Reatta','1398986712','1567847897','1'
'196','25','Regal','1398986712','1567847897','1'
'197','25','Rendezvous','1398986712','1567847898','1'
'198','25','Riviera','1398986712','1567847899','1'
'199','25','Roadmaster','1398986712','1567847900','1'
'200','25','Skylark','1398986712','1567847900','1'
'201','25','Terraza','1398986712','1567847901','1'
'202','26','e6','1398986713','1567847902','1'
'203','26','F0','1398986713','1567847903','1'
'204','26','F3','1398986713','1567847904','1'
'205','26','F6','1398986713','1567847905','1'
'206','26','F8','1398986713','1567847906','1'
'207','26','Flyer','1398986713','1567847907','1'
'208','26','G3','1398986713','1567847907','1'
'209','26','G6','1398986713','1567847908','1'
'210','26','L3','1398986713','1567847909','1'
'211','26','M6','1398986713','1567847909','1'
'212','26','S6','1398986713','1567847910','1'
'213','27','BD132J (CoCo)','1398986714','1461509765','1'
'214','27','BD326J (Moca)','1398986714','1461509765','1'
'215','28','Allante','1398986715','1567847911','1'
'216','28','ATS','1398986715','1567847911','1'
'217','28','BLS','1398986715','1567847912','1'
'218','28','Brougham','1398986715','1567847912','1'
'219','28','Catera','1398986715','1567847913','1'
'220','28','CTS','1398986715','1567847915','1'
'221','28','De Ville','1398986715','1567847916','1'
'222','28','DTS','1398986715','1567847917','1'
'223','28','Eldorado','1398986715','1567847917','1'
'224','28','Escalade','1398986715','1567847918','1'
'225','28','Fleetwood','1398986715','1567847919','1'
'226','28','LSE','1398986715','1434656007','1'
'227','28','Seville','1398986715','1567847921','1'
'228','28','Sixty Special','1398986715','1461509766','1'
'229','28','SRX','1398986715','1567847922','1'
'230','28','STS','1398986715','1567847923','1'
'231','28','XLR','1398986715','1567847923','1'
'232','28','XTS','1398986715','1567847926','1'
'233','29','C12','1398986716','1567847926','1'
'234','30','FX4S','1398986717','1567847927','1'
'235','31','21','1398990306','1567847927','1'
'236','31','CSR','1398990306','1567847928','1'
'237','31','Seven','1398990306','1567847929','1'
'238','32','Benni','1398990306','1434656026','1'
'239','32','CS35','1398990307','1567847932','1'
'240','32','Eado','1398990307','1567847933','1'
'241','32','Raeton','1398990307','1567847934','1'
'242','32','Z-Shine','1398990307','1461509767','1'
'244','33','Flying','1398990307','1567847935','1'
'245','33','SUV','1398990307','1567847935','1'
'247','34','Amulet','1398990308','1567847936','1'
'248','34','Bonus','1398990308','1567847938','1'
'249','34','CrossEastar','1398990308','1567847939','1'
'250','34','Fora','1398990308','1567847943','1'
'251','34','IndiS','1398990308','1567847945','1'
'252','34','Kimo','1398990308','1567847947','1'
'254','34','QQ6','1398990308','1567847950','1'
'255','34','QQ','1398990308','1567847949','1'
'256','34','Tiggo','1398990308','1567847952','1'
'257','34','Very','1398990308','1567847956','1'
'258','35','Alero','1398990310','1567847960','1'
'259','35','Astra','1398990310','1567847961','1'
'260','35','Astro','1398990310','1567847962','1'
'261','35','Avalanche','1398990310','1567847962','1'
'262','35','Aveo','1398990310','1567847963','1'
'263','35','Beretta','1398990310','1567847964','1'
'264','35','Blazer','1398990310','1567847966','1'
'265','35','Blazer K5','1398990310','1461509769','1'
'266','35','C-10','1398990310','1461509769','1'
'267','35','Camaro','1398990310','1567847967','1'
'268','35','Caprice','1398990310','1567847968','1'
'269','35','Captiva','1398990310','1567847968','1'
'270','35','Cavalier','1398990310','1567847969','1'
'271','35','Celebrity','1398990310','1567847970','1'
'272','35','Celta','1398990310','1567847970','1'
'273','35','Chevette','1398990310','1567847972','1'
'274','35','Citation','1398990310','1567847973','1'
'275','35','Classic','1398990310','1567847975','1'
'276','35','Cobalt','1398990310','1567847976','1'
'277','35','Colorado','1398990310','1567847976','1'
'278','35','Corsa','1398990310','1567847977','1'
'279','35','Corsica','1398990310','1567847978','1'
'280','35','Corvette','1398990310','1567847979','1'
'281','35','Cruze (HR)','1398990310','1461509769','1'
'282','35','Cruze','1398990310','1567847980','1'
'283','35','Epica','1398990310','1567847983','1'
'284','35','Equinox','1398990310','1567847984','1'
'285','35','Evanda','1398990310','1567847985','1'
'286','35','Express','1398990310','1567847985','1'
'287','35','HHR','1398990310','1567847988','1'
'288','35','Impala','1398990310','1567847988','1'
'289','35','Kalos','1398990310','1567847991','1'
'290','35','Lacetti','1398990310','1567847993','1'
'291','35','Lanos','1398990310','1567847993','1'
'292','35','Lumina','1398990310','1567847995','1'
'293','35','Lumina APV','1398990310','1567847995','1'
'294','35','LUV D-MAX','1398990310','1567847996','1'
'295','35','Malibu','1398990310','1567847997','1'
'296','35','Metro','1398990310','1567847999','1'
'297','35','Monte Carlo','1398990310','1567848000','1'
'298','35','Monza','1398990310','1567848001','1'
'299','35','MW','1398990310','1567848001','1'
'300','35','Niva','1398990310','1567848003','1'
'301','35','Nubira','1398990310','1567848004','1'
'302','35','Omega','1398990310','1567848005','1'
'303','35','Orlando','1398990310','1567848007','1'
'304','35','Prizm','1398990310','1567848009','1'
'305','35','Rezzo','1398990310','1567848010','1'
'306','35','S-10','1398990310','1567848011','1'
'307','35','Sail','1398990310','1567848012','1'
'308','35','Sonic','1398990310','1567848014','1'
'309','35','Spark','1398990310','1567848015','1'
'310','35','SSR','1398990310','1567848019','1'
'311','35','Starcraft','1398990310','1434656180','1'
'312','35','Suburban','1398990310','1567848020','1'
'313','35','Tahoe','1398990310','1567848023','1'
'314','35','Tavera','1398990310','1567848024','1'
'315','35','Tracker','1398990310','1567848026','1'
'316','35','TrailBlazer','1398990310','1567848027','1'
'317','35','Trans Sport','1398990310','1567848029','1'
'318','36','200','1398990312','1567848042','1'
'319','36','300C','1398990312','1571398879','1'
'320','36','300M','1398990312','1571398879','1'
'321','36','Aspen','1398990312','1571398879','1'
'322','36','Cirrus','1398990312','1571398879','1'
'323','36','Concorde','1398990312','1571398879','1'
'324','36','Crossfire','1398990312','1571398880','1'
'325','36','Dynasty','1398990312','1567848051','1'
'326','36','Fifth Avenue','1398990312','1571398880','1'
'327','36','Imperial','1398990312','1567848054','1'
'328','36','Intrepid','1398990312','1567848055','1'
'329','36','LeBaron','1398990312','1567848056','1'
'330','36','LHS','1398990312','1567848057','1'
'331','36','Nassau','1398990312','1474057900','1'
'332','36','Neon','1398990312','1567848058','1'
'333','36','New Yorker','1398990312','1567848059','1'
'334','36','Pacifica','1398990312','1567848060','1'
'335','36','Prowler','1398990312','1567848060','1'
'336','36','PT Cruiser','1398990312','1567848061','1'
'337','36','Saratoga','1398990312','1567848062','1'
'338','36','Sebring','1398990312','1567848063','1'
'339','36','Stratus','1398990312','1567848063','1'
'340','36','TC','1398990312','1567848064','1'
'341','36','Town and Country','1398990312','1567848065','1'
'342','36','Viper','1398990312','1434656268','1'
'343','36','Vision','1398990312','1567848067','1'
'344','36','Voyager','1398990312','1567848068','1'
'345','37','2 CV','1398990313','1567848070','1'
'346','37','Ami','1398990313','1567848070','1'
'347','37','AX','1398990313','1567848071','1'
'348','37','Berlingo','1398990313','1567848072','1'
'349','37','BX','1398990313','1567848074','1'
'350','37','C-Crosser','1398990313','1567848085','1'
'351','37','C-Elysee','1398990313','1567848086','1'
'352','37','C1','1398990313','1567848074','1'
'353','37','C2','1398990313','1567848076','1'
'354','37','C3','1398990313','1567848076','1'
'355','37','C3 Picasso','1398990313','1567848079','1'
'356','37','C4 AirCross','1398990313','1567848080','1'
'357','37','C4 Cactus','1398990313','1567848081','1'
'358','37','C4','1398990313','1567848079','1'
'359','37','C4 Picasso','1398990313','1567848081','1'
'360','37','C5','1398990313','1567848082','1'
'361','37','C6','1398990313','1567848084','1'
'362','37','C8','1398990313','1567848084','1'
'363','37','CX','1398990313','1567848089','1'
'364','37','DS3','1398990313','1567848091','1'
'365','37','DS4','1398990313','1567848092','1'
'366','37','DS5','1398990313','1567848093','1'
'367','37','Dyane','1398990313','1567848093','1'
'368','37','Evasion','1398990313','1567848094','1'
'369','37','GS','1398990313','1567848095','1'
'371','37','Saxo','1398990313','1567848099','1'
'372','37','Visa','1398990313','1567848103','1'
'373','37','Xantia','1398990313','1567848103','1'
'374','37','XM','1398990313','1567848104','1'
'375','37','Xsara','1398990313','1567848105','1'
'376','37','Xsara Picasso','1398990313','1567848106','1'
'377','37','ZX','1398990313','1567848106','1'
'378','38','V16T','1398990314','1567848107','1'
'379','39','T-Rex','1398990315','1567848108','1'
'380','40','1300','1398990316','1567848109','1'
'381','40','1310','1398990316','1567848109','1'
'382','40','1410','1398990316','1434656371','1'
'383','40','Dokker','1398990316','1567848114','1'
'384','40','Duster','1398990316','1567848115','1'
'385','40','Lodgy','1398990316','1567848116','1'
'386','40','Logan','1398990316','1567848117','1'
'387','40','Nova','1398990316','1567848118','1'
'388','40','Sandero','1398990316','1567848119','1'
'389','40','Solenza','1398990316','1567848120','1'
'390','41','City Leading','1398994510','1567848121','1'
'391','41','Shuttle','1398994510','1567848121','1'
'392','41','Smoothing','1398994510','1567848122','1'
'393','42','Arcadia','1398994511','1567848123','1'
'394','42','Chairman','1398994511','1567848125','1'
'395','42','Damas','1398994511','1567848126','1'
'396','42','Espero','1398994511','1567848127','1'
